id	manufacturer	model_name	model_code	icao_type_code	engine_type	new_engine_type	aircraft_family	new_aircraft_family	aircraft_category
242	Mooney	Mooney Bravo - M20R Ovation	M20_M20T	M20T	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
252	Mosquito	Mosquito De Havilland	MOS_MOSQ	MOSQ	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
260	Mustang	Mustang P51D Civilian	P51_PM51	PM51	PISTON	PISTON	FIXED_WING	CESSNA_CITATION_FAMILY	A
301	NAMC	NAMC YS-11	YS1_YS11	YS11	JET	TURBOFAN	FIXED_WING	YS11_FAMILY	C
261	PAC	PAC P-750XSTOL - PAC 750XL	P75_P750	P750	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
258	Piaggio	Piaggio P-180 Avanti	P18_P180	P180	TURBOPROP	TURBOPROP	FIXED_WING	PIAGGIO_P180_FAMILY	B
257	Piaggio	Piaggio P.149	P14_P149	P149	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
256	PILATUS	PILATUS PC-12 Eagle	P12_PC12	PC12	PISTON	PISTON	FIXED_WING	PILATUS_PC12_FAMILY	A
259	Pilatus	Pilatus PC-24	P24_PC24	PC24	TURBOPROP	TURBOPROP	FIXED_WING	PILATUS_PC24_FAMILY	B
272	Pilatus	Pilatus PC-6 Turbo Porter	PL6_PC6T	PC6T	TURBOPROP	TURBOPROP	FIXED_WING	PILATUS_PC6_FAMILY	B
2	Pilatus Aircraft	PC-12 NGX	PC12_NGX	PC12	TURBOPROP	TURBOPROP	Pilatus PC-12	PILATUS_PC12_FAMILY	TURBOPROP_LIGHT
263	Piper	Piper light aircraft - single piston engine	PA1_PA1	PA1	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
264	Piper	Piper light aircraft - twin piston engines	PA2_PA2	PA2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
269	Piper	Piper Malibu Mirage	PAG_P46T	P46T	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
267	Piper	Piper PA-24 Comanche	PA5_P124	P124	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
266	Piper	Piper PA-44 Seminole	PA4_PA44	PA44	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
268	Piper	Piper PA28R ARROW III	PA8_PA28	PA28	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
265	Piper	Piper PA34 Seneca	PA3_PA34	PA34	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
270	Piper cheyenne I	Piper cheyenne I / Piper cheyenne II	PAT_PAY	PAY	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
271	Pipistrel	Pipistrel Virus SW 121	PIV_PIVI	PIVI	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
169	Robin	Robin DR-300	D30_DR30	DR30	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
171	Robin DR400	Robin DR400/100 Cadet - CAP 10	D40_DR40	DR40	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
274	Robinson	Robinson R-22 (helicopter)	R22_R22	R22	TURBOSHAFT	TURBOSHAFT	HELICOPTER	ROBINSON_R22_FAMILY	A
126	Rutan	Rutan Boomerang M202	BO2_BOOM	BOOM	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
6	Saab	340B	SAAB_340B	SF34	TURBOPROP	TURBOPROP	Saab 340	SAAB_340_FAMILY	TURBOPROP_REGIONAL
277	Saab	Saab 2000	S20_SB20	SB20	TURBOPROP	TURBOPROP	FIXED_WING	SAAB_2000_FAMILY	B
281	Saab SF340A	Saab SF340A/B	SF3_SF34	SF34	TURBOPROP	TURBOPROP	FIXED_WING	SAAB_340_FAMILY	B
280	Schweizer	Schweizer 2-32	SCH_SCH2	SCH2	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
276	SIAI-MARCHETTI	SIAI-MARCHETTI S-205	S05_S05R	S05R	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
212	SIAI-Marchetti	SIAI-Marchetti SF-260	F26_F260	F260	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
289	Socata	Socata TB21GT Trinidad	TB2_TB21	TB21	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
290	Socata	Socata TBM 700	TB7_TBM7	TBM7	PISTON	PISTON	FIXED_WING	TBM_FAMILY	A
291	SOCATA	SOCATA TBM-850 Turboprop	TB8_TBM8	TBM8	TURBOPROP	TURBOPROP	FIXED_WING	TBM_FAMILY	B
284	Sting	Sting S4 Ultralight	SS4_SS4	SS4	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
282	TECNAM	TECNAM P-2002 Sierra	SIR_SIRA	SIRA	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
128	TECNAM	TECNAM P-2004 Bravo	BRA_BRAV	BRAV	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
255	Tecnam	Tecnam P2006	P06_P06T	P06T	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
262	Tecnam	Tecnam P92	P92_P92	P92	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
3	Textron Aviation / Beechcraft	King Air 360	B350_KING_AIR_360	BE30	TURBOPROP	TURBOPROP	Beechcraft King Air	KING_AIR_FAMILY	TURBOPROP_LIGHT
1	Textron Aviation / Cessna	208B Grand Caravan EX	C208B_GRAND_CARAVAN_EX	C208	TURBOPROP	TURBOPROP	Cessna Caravan	CESSNA_CARAVAN_FAMILY	TURBOPROP_LIGHT
287	Tupolev	Tupolev TU-114 Rossiya	T11_T114	T114	JET	TURBOFAN	FIXED_WING	TU114_FAMILY	D
294	Tupolev	Tupolev TU154	TU5_T154	T154	JET	TURBOFAN	FIXED_WING	TU154_FAMILY	C
288	Tupolev Tu-204	Tupolev Tu-204 / Tu-214	T20_T204	T204	JET	TURBOFAN	FIXED_WING	TU204_FAMILY	D
275	Van s RV-14	Van s RV-14/14A	RV1_RV14	RV14	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
295	Vickers	Vickers Viscount	VCV_VISC	VISC	JET	TURBOFAN	FIXED_WING	VICKERS_VISCOUNT_FAMILY	C
142	Viking	Viking Air 415 (Canadair CL-415)	CL2_CL2T	CL2T	TURBOPROP	TURBOPROP	FIXED_WING	KING_AIR_FAMILY	B
298	Vought	Vought Corsair F4U	WF4_WF4U	WF4U	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
297	Waco	Waco (Vintage 1929)	WAC_WACO	WACO	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
299	XtremeAir	XtremeAir XA-42 Sbach 342	XA4_XA42	XA42	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
300	Yakovlev	Yakovlev Yak 40	YK4_YK40	YK40	JET	TURBOFAN	FIXED_WING	YAK40_FAMILY	C
141	Zenith	Zenith STOL CH801	CH8_CH80	CH80	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
279	Zlin Aviation Savage CUB	Zlin Aviation Savage CUB / Shock Ultra	SAV_SAVG	SAVG	PISTON	PISTON	FIXED_WING	LIGHT_PISTON_FAMILY	A
